"gene_symbol","entrez_human","entrez_rat","entrez_mouse","Unirprot_Human","Uniprot_Rat","Uniprot_mouse","gene_name","synonym","DbTF","pubmed_id","evidence_type","AnimalTFDB","DBD","GOC","JASPAR","ORFeome","Ravasi_et_al","TcoF_DB","TFCat","TFClass_human","TFclass_mouse","Vaquerizas_et_al","pubmed_id_1","taxon","pubmed_id_2","taxon_1","pubmed_id_3","taxon_2","pubmed_id_4","taxon_3","pubmed_id_5","taxon_4","pubmed_id_6","taxon_5","GOC981_select_EC"
"ELF1","1997","85424","13709","P32519;Q6MZZ4","G3V9V2;Q9EQY2;Q9EQY3","Q3UQ47;Q3V1H4;Q60775","E74-like factor 1 (ets domain transcription factor)","0","1","12065417; 16002702","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16002702","10090","12065417","10090","0","0","0","0","0","0","0","0","981"
"SMAD4","4089","50554","17128","Q13485","O70437","E3SRG7;P97471","SMAD family member 4","DPC4|JIP|MADH4|MYHRS","1","11788714; 14741200; 15240101","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15240101","9606","14741200","9606","11788714","10090","0","0","0","0","0","0","981"
"PAX2","5076","293992","18504","Q02962","D4ACZ2","P32114","paired box 2","PAPRS","1","11731455; 12756174; 12756174; 14561758","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","14561758","10090","12756174","10090","12756174","10090","11731455","10090","0","0","0","0","981"
"RUNX2","860","367218","12393","Q13950;Q32MY8","F1M9C5","E0CZ12;F8WHN7;Q08775;Q9Z2T9","runt-related transcription factor 2","AML3|CBFA1|CCD|CCD1|OSF-2|OSF2|PEA2AA|PEBP2A1|PEBP2A2|PEBP2AA|PEBP2AA1","1","11451945; 16574347","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16574347","10090","11451945","10090","0","0","0","0","0","0","0","0","981"
"FOXP2","93986","500037","114142","B7ZLK5;O15409;Q8N6B5;Q8N6B6;X5D2H2","P0CF24","P58463","forkhead box P2","CAGH44|SPCH1|TNRC10","1","11358962; 14701752","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","14701752","10090","11358962","9606;10090","0","0","0","0","0","0","0","0","981"
"SRF","6722","501099","20807","B4DU24;P11831","D3ZHH8","Q9JM73","serum response factor (c-fos serum response element-binding transcription factor)","MCM1","1","11278806; 15728583; 16170155","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16170155","9606","15728583","10090","11278806","10090","0","0","0","0","0","0","981"
"SMAD2","4087","29357","17126","B7Z5N5;Q15796;Q53XR6","O70436","Q62432","SMAD family member 2","JV18|JV18-1|MADH2|MADR2|HMAD-2|HSMAD2","1","11139470; 18471442","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","18471442","9606","11139470","9606","0","0","0","0","0","0","0","0","981"
"ESR1","2099","24890","13982","A8KAF4;G4XH65;P03372;Q9UBT1","D0FYH4;P06211","E7FJU2;P19785","estrogen receptor 1","ER|ESR|ESRA|ERA|NR3A1","1","10908317; 16636675","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16636675","9606","10908317","9606","0","0","0","0","0","0","0","0","981"
"GABPA","2551","363735","14390","A8IE48;Q06546;Q8IYS3","D4ACQ9","Q00422","GA binding protein transcription factor; alpha subunit 60kDa","E4TF1-60|E4TF1A|NFT2|NRF2|NRF2A|RCH04A07","1","10773883; 15361867","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15361867","10090","10773883","10090","0","0","0","0","0","0","0","0","981"
"EHF","26298","295965","13661","Q9NZC4","B2RYD8","O70273","ets homologous factor","ESE3|ESE3B|ESEJ","1","10644770; 17027647","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","17027647","9606","10644770","9606","0","0","0","0","0","0","0","0","981"
"BATF","10538","299206","53314","Q16520","D4A7E1","O35284","basic leucine zipper transcription factor; ATF-like","B-ATF|BATF1|SFA-2|SFA2","1","21873234","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","21873234","10090","0","0","0","0","0","0","0","0","0","0","981"
"MEIS1","4211","686117","17268","F5GYS8;O00470","B1WC31","Q60954","Meis homeobox 1","0","1","19799567","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","19799567","9606","0","0","0","0","0","0","0","0","0","0","981"
"TP63","8626","246334","22061","Q9H3D4","Q9JJP6","O88898;Q3UVI3;Q569E5;Q5CZX0","tumor protein p63","AIS|B(P51A)|B(P51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|P40|P51|P53CP|P63|P73H|P73L","1","19458633","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","19458633","9606","0","0","0","0","0","0","0","0","0","0","981"
