Normal,Tumor
1552514_at,3.34965909907885,4.02294648576927
1552515_at,4.97542415639194,4.96904863650373
1552516_a_at,7.58396402554881,7.73528238515878
1552518_s_at,4.543581036926,5.17099472921076
1552519_at,9.51972089547887,7.48802214464645
1552520_at,6.05394783508194,7.57398122349991
1552521_a_at,5.43604422403537,6.83695386391276
1552522_at,5.08299266294786,4.22670458507525
1552523_a_at,5.2811418467955,4.72574139682778
1552524_at,4.58793885600248,4.56226858738462
1552526_at,3.72501154042211,3.16418324877416
1552528_at,6.77840841261648,5.88088734035355
1552531_a_at,7.06002021379624,7.23213685285722
1552532_a_at,3.47057475192803,2.78266039948273
1552535_at,4.82912498439228,5.42029488919656
1552536_at,6.57196475324483,7.08182234630283
1552538_a_at,4.24505837572261,3.65069586241883
1552540_s_at,6.37302206672182,5.9556043200636
1552541_at,8.01846151400069,7.41170873624695
1552542_s_at,5.26905834206306,5.09283906269699
1552543_a_at,5.2179029367862,5.31760910066734
1552544_at,6.66483555991458,6.30413179167937
1552546_a_at,6.35692567078784,5.17402537719864
1552548_at,5.22537045235076,4.01472636349902
1552549_a_at,5.95395117193206,5.47929635237633
1552552_s_at,4.44872526415335,4.15631406662347
1552553_a_at,6.1700805426372,5.46487123923914
1552554_a_at,3.99065108269276,4.18262632320526
1552555_at,6.43896092542021,6.25438503895692
1552557_a_at,5.44768583511129,5.22611817376485
1552558_a_at,8.24445535130668,7.95367064066717
1552559_a_at,3.67894046217028,3.81272993593765
1552562_at,6.67439625285377,6.22562630144821
1552563_a_at,3.76505324868601,4.46488684417986
1552564_at,5.27997903447161,4.69901740368686
1552566_at,6.0384555769462,5.31886622763161
1552568_at,10.0701668873495,9.48368576080506
1552569_a_at,10.7014948823067,10.2458220040568
1552570_at,6.48980161921762,5.89738525975561
1552572_a_at,3.38975820526847,4.7737330909222
1552573_s_at,5.37170393866642,5.69972959091655
1552575_a_at,6.60483631461974,5.61843988125668
1552576_at,5.24484461342676,5.55202622794504
1552578_a_at,4.51800860015516,4.04860418352076
1552579_a_at,6.43545199184484,5.92936964187583
1552580_at,3.16555755903485,3.04963683317455
1552582_at,5.4176354160797,4.10713217531129
1552583_s_at,6.17092711678359,5.27086380195809
1552584_at,5.8083898422272,6.47514528447611
