Normal,Tumor
3594,5.8083898422272,6.47514528447611
11036,5.34207892679929,4.64392723925093
162514,6.87197770458177,6.29407104594603
168975,5.60991942412227,5.00317463709035
94160,3.60744919363614,3.78071597181546
118856,3.72481260126823,3.69804707833911
147744,6.24909050034632,5.44247643577357
246176,6.57271671797793,5.88230843366524
93107,4.87772324970892,4.89742551880724
222659,5.67094272206494,5.0222156870371
27091,6.89015418727838,6.62376750227762
54143,3.94205685144669,3.44565339944151
286967,6.71429113881738,6.76956446439922
259239,3.4500361449127,3.18101724707466
282616,6.72665705485464,5.65786811806041
3716,10.2585063795375,10.2446497094293
56990,8.19513575272771,8.90198305014778
32,10.1844631140267,9.60013405962626
64326,9.61957022368633,10.3500545701334
10228,6.2676820794058,7.48572758066413
54443,4.18952797535063,7.47682764555867
163778,7.48574362432141,7.56656389031562
5439,8.67138525375456,10.2244620704682
84941,4.14998021458167,4.40660214738432
51095,7.435681313041,8.18005014678373
81615,6.5496903196524,6.4855485346372
394,8.36479584222184,8.53458821518591
64224,11.1917600399291,11.2106745636987
23210,4.00777492997673,2.73902201279
10847,4.45914545977034,5.43486551939245
9064,6.80446103950522,5.6359703582061
22901,6.03976211361745,6.59264336138833
94039,6.45955115037566,7.39328107811352
5781,3.96523872437364,4.65634243494933
113730,6.40254839004916,6.12409341838232
55210,5.71875492843992,6.43762037122873
199777,7.8704128494426,7.42122803146804
80012,6.68203186717665,6.73169465721315
3590,8.83956000150455,8.40876266771059
8797,7.46385068471099,7.77801969921974
117584,6.48240195615416,6.54673252893717
89781,7.53229039094584,7.75184523819994
127933,7.73447545824699,8.51043542412231
84203,3.32273272289522,3.8174535815339
89795,5.50920952251603,6.85067663426274
55322,7.80163926061687,8.26602701593257
56099,2.72385888051714,1.79657436172054
23085,6.99629887401069,7.85431837651851
201163,9.08102869004647,9.12245105422419
84989,6.95002023730679,6.26250204454748
57554,3.8575463001044,3.51342626610167
10044,7.40807957878556,7.17823320963146
79660,5.7264788744234,4.82824024014806
84679,3.85651459522334,4.08328680668556
3321,4.63015010994958,4.29903627767447
222546,4.04705556411713,4.26915526208734
116093,4.45302163588501,3.67674173422038
150353,2.70263739446744,2.31707799072613
114131,6.73330617868036,5.91414466456261
23181,5.38197061179959,6.32881125685279
57646,7.62757198609773,7.61386741168909
57082,5.16281870486074,6.96128920142371
123228,6.47038056617981,6.31866039359011
29841,7.39881583808104,6.76574051107588
140894,4.37453937784993,4.61459637358322
57524,5.15570263861027,5.04105858466359
93589,6.76953679533777,6.2698852140031
115761,4.97570991568869,5.11892520617052
114134,6.15993849526001,5.7768977966568
123606,6.77375948573037,6.61986107010556
113691,5.57902224868609,5.07236096093902
114769,8.63300003253991,8.62955891074978
834,8.75530897608815,8.83621981769301
142679,6.25820957048722,5.9605671798486
124637,8.5540081123468,8.12270091355749
23057,5.91024231953384,6.22048787701027
6521,6.55390676623914,6.13166022796479
200407,3.96736533420646,3.71973344337294
59350,6.24818778846725,4.05374604438083
79925,6.03067266000475,7.13907547512961
9859,6.33297230160767,7.10400360285253
92675,5.93088341523363,6.15243976071695
113201,4.70547524603297,5.63492129596419
2246,5.14305175859562,4.85466056026258
10777,4.3352744672328,3.63218541445877
158800,7.7761929519367,7.34243172186053
170691,6.10559165026101,6.14901215074742
84973,7.19779194890016,7.25963105362391
50846,5.21572993944988,4.83536151060237
137735,3.7757184029678,2.46195133224616
122773,8.9134487672292,8.14782138518532
253260,5.57838718870237,5.71751563608426
56111,6.68683608063914,7.24977592120203
81832,4.98631172908425,4.17236990220658
11060,3.82350985462452,5.30693403465802
54879,7.14285057217765,6.71438339311631
150590,3.31073464497562,3.49100499748313
131096,4.72233126237307,4.69374014562317
23263,5.11441828602704,4.90766224887541
133482,4.91706063413355,4.92287961635044
151649,5.09145573923575,4.49298699638446
147700,7.35652355225726,6.59817339144286
117286,3.57332644417372,3.07845380126093
253559,6.90123251331506,6.37316960157166
157983,4.84615989839662,3.8894963346056
9734,4.17182171923933,4.20867281695271
162515,7.99936760247987,8.47230649323976
91147,2.61611890298164,2.32248084234115
90161,3.14032098684167,2.82048012812798
84254,4.44667930563043,4.68597408555712
90589,6.55077879681387,6.43389958480076
147837,7.19446889489025,8.06073472223005
286826,2.10574030358791,2.0410033337263
338339,5.52436895982279,4.89364918738563
9481,6.82987829747285,6.10260218282105
222545,4.84808421242089,4.21039051691949
135250,4.70705685372515,4.04061221214816
204962,5.54458104772571,5.9362752143657
147687,4.29206258953726,4.71492827102041
163115,5.62898952072678,5.64555570152569
92797,6.74146994347915,6.53491325887441
7095,8.32542747969768,7.73648881489235
10345,4.45483858576676,4.07307199090636
122809,4.54099700430544,5.17034431017007
286122,5.20994047817317,4.2891790504064
284306,4.63141475435317,5.38084875159848
6492,6.28114458906149,5.27736090630794
150696,6.1119059564064,5.33818524902613
7099,5.90341625706804,5.73565937701539
203062,4.26999465392359,4.36854832409006
92291,3.93479555406216,3.64733223659409
3925,4.78474613120335,4.27509873451268
89790,5.19914020412263,4.98778365431314
5992,4.86704131676723,4.69327675083681
117166,6.67325522105961,6.26910999269669
29843,5.73465469746076,6.58172088197549
136259,4.8713638048386,4.47643273781516
158046,4.9230649305736,4.89170269895054
680,3.20381846587814,2.54036891417464
257103,6.32204364891685,5.50540988262247
54495,5.84462464147891,5.5647942786035
252884,6.05801426488394,5.829862744504
115111,3.68699741114479,2.64534151667077
112574,6.12999845404896,6.07751978037919
162517,5.42231250629006,4.94786551758224
192134,5.30097330720757,4.80571601917301
163486,5.22309766186385,4.44012169044849
285267,6.88858119551749,6.52844542151132
22858,4.25115781516938,3.23617548032402
161142,5.09359281514594,5.1472671689888
79370,4.42105518307886,3.67527560794105
266722,4.13624353893888,4.07559455645223
10861,2.93522133445265,2.88081086416667
24146,6.67578813104486,7.45056767948192
115273,7.0383008574666,7.69001694296463
139411,5.85518995647399,5.06622012942358
130951,4.58568995866448,2.95997306201637
201516,2.86290786686411,2.60532801676702
127731,5.45574631047742,4.21956361786858
197196,6.56926309584385,5.33494320461953
3362,4.10785285156672,3.47846962264667
158809,4.97497292256196,4.1889334214956
162699,3.79451610602819,3.61197440375466
284618,5.08122514577388,6.34128681546675
59285,9.22039748476457,8.72331396123064
160492,6.09433409863586,6.11663120982075
148046,7.18501406971872,6.90129006855976
126859,4.99812998761813,4.67242197830222
80161,4.23973168771533,4.39441115408987
131450,3.15297720251596,3.55041741752072
114042,5.67448912714424,5.43125125793689
220202,5.00062265384312,4.08120696422745
89866,9.05925058483492,9.38685351725843
139285,5.82298043783378,5.3578719041463
157848,6.27021989936163,6.01578574493959
219793,7.18569850950674,6.12145272305488
90332,9.06356147582406,8.87190097028007
57010,5.02973503627815,4.35384173785592
115650,5.33743192541651,5.00429905603863
94032,7.69367217461102,7.5534917994629
149992,5.95347083233526,5.93293563989215
170850,3.81740978355328,4.08748138017429
154089,6.28750159776791,6.00849227868432
93986,4.44035358558568,3.53790753343797
124872,4.26756359788464,4.51185037988176
158521,3.59354438166608,3.66755430709679
148823,4.23458521431359,4.58032759323123
114132,7.14616971270935,5.53369752936724
149233,3.5162974418375,3.43643635977811
286514,2.81794682094125,2.45947250555488
80381,4.52478681056135,4.47012850487448
282618,7.28795290756274,6.64746178528098
132989,4.5141969755552,4.32377584575423
63979,6.46381588700727,7.40284528635802
22999,2.71284801992552,2.44798512602569
57605,6.19438512800267,6.15440873769945
57575,3.95035884246675,3.6682813612613
257397,6.92396740753408,7.1047143116193
131890,4.37208451824547,3.82285903154577
79258,7.56180596044128,7.44062660442884
5151,9.01795688881238,8.79157275841917
171389,4.25805105456801,4.00811243627599
254268,4.65832279296785,4.46034363623648
203430,7.38416606465754,6.69143112824877
11277,6.89040386271413,7.68679072954604
85416,4.52701239207666,4.81864829052774
284,4.1174106350107,4.3764235601815
127670,5.46402977604139,4.9072590748186
149373,8.11321010492257,7.5908661487885
2565,4.70161093363538,3.64541547705805
56666,7.12310935030509,6.4442042907131
163071,4.45103091121967,3.87418361413599
148870,3.62088046805839,3.31184551023921
161502,4.44897670513252,3.99457652073341
159162,6.27861472777926,6.11062755944417
4761,5.69987946371223,5.01466401940094
439936,5.02759998627494,4.77043960896172
83655,7.63455678986753,6.62286543360114
1768,5.6545752747166,5.20332257638645
131578,5.73495107256966,4.78326153945648
54777,3.6569084487826,3.10154955760025
93010,4.23501140758652,3.57281150438894
158506,7.67944881856269,6.78606110294946
9204,5.28526503079592,5.43958552472952
137868,3.7880208670596,3.18649654973806
100507431,2.47375481779073,2.75230871528501
7484,5.08456375493786,4.64908358500643
10695,9.65039042045766,9.09530530855159
9522,8.28758398891427,8.61922631712648
151477,4.25482275699057,3.77225704927054
3038,6.93595596279059,6.61912909493532
2249,4.03747610113412,4.55542330711744
169026,6.03268722692805,5.85062549525182
142937,4.76196950679992,5.60391079476527
439933,3.217273917274,3.46383346478444
160140,5.42288917419259,4.59200332944921
284418,2.91102122077681,2.45104338958341
120065,4.98011771970095,4.99983740660652
143241,2.52330817257612,2.44550981667247
246778,6.56917664817043,6.06938284300581
132141,5.73708570146066,5.20092226047481
245938,3.87109363284201,2.84071965431718
280664,4.30007165558726,3.48411242475387
245908,5.85782497076849,5.29608560875889
5314,6.2485740287375,6.1195107066734
168507,4.1673603738556,3.82733100054312
139378,4.78415798854604,3.8964125891326
10178,4.67948666670498,3.89475840669367
254958,2.4531947695075,2.08874784556002
138474,5.73726909227519,5.77977643301096
129684,4.8259539718441,4.45572057324905
9401,7.41714047508268,7.79813542259952
165082,7.10522209980028,5.89591957809793
117532,5.36082901610278,5.40541425712413
140771,6.1823314223341,5.52482571108966
23299,5.7656511643026,5.605097421136
114026,3.54903712579832,3.22073049085479
79400,5.51936926045859,5.57386584980731
282706,4.32875371358231,3.00734372205798
57211,4.51144742583512,4.07998537610978
56062,4.85675570416127,4.79999495117939
165829,5.72122037999507,4.68245910729282
6821,9.12356468886399,8.62883935964692
221393,4.68906564695116,4.19859235905625
133396,3.772597134724,3.11486250016368
94122,4.45056703111377,3.7722066933294
10806,7.1669696781528,7.58069960871827
222611,2.70935518681801,3.08605687537428
6854,5.59302970151942,4.65643666299211
136371,5.22100173834137,4.68311341494404
170572,4.57663482871696,3.68979638113628
84807,5.64249679433507,5.28786630447928
146722,5.40820705872382,6.55806797803771
84694,4.73744553551746,5.50091671737802
7483,4.19957829623925,3.70522847491163
64090,5.45016466651824,4.90982484921861
8396,7.43239820008428,7.32304202664353
113746,4.67752248014051,4.39531826408193
164237,4.74674605777807,4.15374216567141
256369,4.7532735673001,3.6619362100675
162394,4.07861361820012,5.88297759344312
89777,5.61780825545379,4.49392408878628
126326,6.38778301031089,5.61091945314391
114771,5.26386632779408,3.79966515734526
85481,6.03318288951923,5.78634920362411
89883,3.47133325413281,2.84071440360781
116255,8.42852149377241,7.41487045443131
27201,7.0946334728993,6.74943606324033
132243,4.13880613517002,3.9582962976526
134860,4.98527448322192,4.50529165086139
114814,4.83760823780221,4.93732949992298
91977,5.44025298844094,5.24403492094415
149428,3.02786058417633,3.58151199396881
140456,4.89087848092359,3.82394951900477
266553,3.6728427963973,3.05821205801197
121214,4.04180495577681,3.62711548248079
120066,5.20917262689174,4.89324311129497
135644,6.37984743585872,5.32225019846747
286828,5.23067217835015,5.32691454638128
128488,5.32870782184021,5.36716019413426
155051,3.91952177362192,3.58338753398036
