probes,entrez,symbol,logFC,adj.P.Val
1553429_at,158263,FLJ31713,-1.07798470961929,0.0423387046235721
1553440_at,147429,AQP4-AS1,-1.73287196425472,0.0295152996557804
1553465_a_at,221223,CES5A,-2.20980703104736,0.00596878450810453
1553484_at,144360,LINC00477,-1.22735535079245,0.045450516150452
1553485_at,151278,CCDC140,-1.43465095118408,0.00520363668680691
1553492_a_at,5075,PAX1,-1.23340920576691,0.0300595108837197
1553539_at,121391,KRT74,-1.12697689127691,0.0170388188082492
1553558_at,259287,TAS2R41,-1.30041067773939,0.0164593980424056
1553582_a_at,10407,SPAG11A ,-1.26387266173462,0.0205991410415255
1553583_a_at,7069,THRSP,-2.54095983347755,0.00324164692899894
1553586_at,283932,FBXL19-AS1,-1.26795373373967,0.00115494002126375
1553589_a_at,10158,PDZK1IP1,3.20362143842293,0.0138538848148069
1553635_s_at,200132,TCTEX1D1,-3.02034957210274,2.1644698773339e-05
1553656_at,6975,TECTB,-1.10358256434283,0.0249910311701473
1553682_at,144699,FBXL14,-1.09437674907615,0.024936559620476
1553691_at,148789,B3GALNT2,1.24264917932895,0.0304760537737818
1553722_s_at,220441,RNF152,-1.60646380777441,0.00204358803173773
1553740_a_at,3656,IRAK2,1.22994249068998,0.0254113391498202
1553765_a_at,114792,KLHL32,-1.77342302717726,0.0207224041088279
1553785_at,153020,RASGEF1B,-1.39451285506438,0.00799274420497571
1553804_a_at,124783,SPATA32,-1.19591464241363,0.0268135328285826
1553851_at,121599,SPIC,-1.47223302713551,0.04615471921241
1553865_a_at,2849,GPR26,-1.30028885274351,0.00691503615863572
1553868_a_at,285600,KIAA0825,-1.59778408421654,0.0131181257354309
1553879_a_at,137362,GOT1L1,-1.03607145384461,0.0428303136296464
1553887_at,284369,SIGLECL1,-1.39916792346303,0.0103282826988835
1553894_at,160857,CCDC122,1.32424540669128,0.0227923586409373
1553905_at,170063,CXorf22,-1.09414117788679,0.0450206100897683
1553912_at,285492,LINC00955,-1.23465415584257,0.0369836085863147
1553935_at,85003,BFSP2-AS1,-1.88616987938342,0.00214619466171749
1553945_at,122876,GPHB5,-1.12435480637743,0.0134314089777728
1553952_at,131540,ZDHHC19,-1.23981698464829,0.0156595190307648
1553961_s_at,90203,SNX21,1.25606620858286,0.00195933786421143
1553971_a_at,352954,GATS,1.68908492522086,5.02863646319772e-06
1553972_a_at,875,CBS,-1.59444964043434,8.35841317108665e-05
1553977_a_at,51302,CYP39A1,-2.30870762030746,5.75552092360199e-05
1553989_a_at,245973,ATP6V1C2,-1.1935396329215,0.0157535843396778
1554027_a_at,8671,SLC4A4,-1.51435500833121,0.0163058222551351
1554029_a_at,9652,TTC37,1.46611389189024,8.58340510355399e-05
1554063_at,100533106,ZHX1-C8orf76,1.04126460994431,0.0017938261949362
1554071_at,159989,CCDC67,-1.75134351642767,0.00858638979084684
1554128_at,149685,ADIG,-1.25615124668548,0.020192500743147
1554217_a_at,55610,CCDC132,1.27735448330505,0.00101606545923622
1554222_at,284365,MGC45922,-1.36317714466719,0.00474464512129015
1554235_at,29119,CTNNA3,-2.43899763697228,6.29337557382742e-05
1554260_a_at,285527,FRYL,1.52213703604278,2.61510676163123e-08
1554271_a_at,91687,CENPL,1.344128257269,0.00105890714629207
1554273_a_at,64167,ERAP2,2.20795552539108,0.00363315640874391
1554280_a_at,257169,C9orf43,-1.04202524487872,0.0132848574661548
1554283_at,25819,CCRN4L,-1.18614065488056,0.0373636056105727
1554310_a_at,8672,EIF4G3,1.13211142535077,0.0365558337005981
1554314_at,135398,C6orf141,-1.69689878692598,0.0406760078653889
1554316_at,25796,PGLS,1.2703146299708,0.00352833321034115
1554327_a_at,124583,CANT1,1.29738175929344,0.00713126500068233
1554351_a_at,261726,TIPRL,1.16259878947193,3.17965571522563e-06
1554401_a_at,6991,TCTE3,-1.07581421145327,0.0211290825209368
1554405_a_at,118421,LINC00161,-1.23889346061823,0.0194876648809863
1554408_a_at,7083,TK1,2.17427141200062,2.00965769846302e-06
1554410_a_at,81554,WBSCR16,1.0148253426175,2.01095892965497e-05
1554413_s_at,440352,SNX29P1 ,-1.74297595696514,0.0207942905977276
1554436_a_at,83998,REG4,-1.0376579310521,0.0423678687932557
1554443_s_at,7439,BEST1,-1.17329349689038,0.00653610869474441
1554459_s_at,10878,CFHR3,-2.2441564986943,0.0181078966917095
1554504_at,10003,NAALAD2,-2.12474770942345,0.00848946125233228
1554513_s_at,84902,CEP89,1.29654438789982,0.0128835288600873
1554531_at,54970,TTC12,-1.14565082060465,0.00115461515396539
1554550_at,57587,KIAA1430,-2.15645168416089,0.0012520442917446
1554559_at,118442,GPR62,-1.13852614774348,0.0112587719232868
1554600_s_at,4000,LMNA,1.14274133415407,1.5137700578306e-05
1554613_a_at,9711,KIAA0226,-1.16180043734557,0.0020575240497208
1554640_at,114299,PALM2,-1.61562504480355,0.0174684281831577
1554668_a_at,338094,FAM151A,-3.56361407511458,9.64085570726252e-06
1554679_a_at,55353,LAPTM4B,2.37370562300306,7.91692121648281e-05
1554680_s_at,3788,KCNS2,-1.48267679530518,0.0165988290082121
1554696_s_at,7298,TYMS,2.36394222522471,7.01272482386789e-09
1554704_at,148229,ATP8B3,1.12208382208651,0.00466271944739419
1554708_s_at,55064,SPATA6L,-1.3781483048318,0.0214469750032086
1554716_s_at,414926,LINC00593,-1.2275044180112,0.0258703275120809
1554744_at,114769,CARD16,-1.29718635643359,0.0482721224021838
1554761_a_at,54919,HEATR2,1.01447314683447,0.0045491259401871
1554763_at,100131816,UBE2DNL,-1.18681162176598,0.0219353683072486
1554767_s_at,9946,CRYZL1,1.20788122887559,0.000441026306353256
1554768_a_at,4085,MAD2L1,1.51248714413602,0.000370439433468326
1554769_at,146540,ZNF785,1.00381748212651,0.00884170360043916
1554774_at,84864,MINA,1.38158888233251,0.0176375982018603
1554779_s_at,90102,PHLDB2,-1.30386512328487,0.0194582291250489
1554837_a_at,1579,CYP4A11 ,-2.30784062609802,4.54126940434361e-05
1554841_at,441024,MTHFD2L,-1.45719610503741,0.00363315640874391
1554863_s_at,55816,DOK5,-2.48240384141159,0.000853990748507227
1554885_a_at,5558,PRIM2 ,1.90206579501279,2.08383689708951e-08
1554918_a_at,10257,ABCC4,1.62428024778153,0.0113353312710272
1554929_at,23387,SIK3,-1.69573801117839,0.000783346238201218
1554989_at,9870,AREL1,1.0745474080288,0.0244651298443613
1554992_at,5923,RASGRF1,-1.11972522090537,0.022071974905757
1554996_at,10793,LOC285902 ,-1.91973012745928,0.00251991951621994
1554997_a_at,5743,PTGS2,-2.27922975974657,0.00477712196895628
1555000_at,100131077,OK/SW-CL.36,-1.12397647865281,0.0458420514308655
1555001_at,132141,IQCF1,-1.05748970210101,0.0314601322103437
1555048_a_at,54084,TSPEAR,-1.34785268867354,0.0179378176580729
1555052_a_at,143425,SYT9,-1.12536856615083,0.0447365766199604
1555058_a_at,9926,LPGAT1,1.1330767705625,0.00462229660538593
1555076_at,9938,ARHGAP25,-1.1439865923799,0.0286170612887001
1555088_x_at,6777,STAT5B,-1.16743435152246,0.0297405030908722
1555107_a_at,57654,UVSSA,1.13894524516697,0.00757940335900062
1555111_at,57821,CCDC181,-1.27666315241455,0.0382939480324647
1555137_a_at,55785,FGD6,1.25396698369531,0.0338323938972392
1555175_a_at,64081,PBLD,-1.8708542980549,0.000655079795236403
1555180_at,100132686,LOC100132686,-1.2171555756822,0.0288218437903367
1555189_a_at,6898,TAT,-1.78684376130352,0.0464417131686245
1555225_at,25912,C1orf43,2.34611559554058,0.00121133875263578
1555233_at,57381,RHOJ,1.1754862107488,0.0412430511254969
1555250_a_at,22849,CPEB3,-1.80514037932654,3.56703345822209e-05
1555253_at,84570,COL25A1,-2.3673555166381,0.000216047546102911
1555255_a_at,9677,PPIP5K1,1.11757678507279,0.00165179107538114
1555278_a_at,9793,CKAP5,1.12722926111253,3.56843179287478e-07
1555321_at,26027,ACOT11,-1.10057462878588,0.0266199642269163
1555342_a_at,8633,UNC5C,-1.21167077693516,0.0171139560372725
1555345_at,55089,SLC38A4,-1.76397287804314,0.0231325777371785
1555352_at,93986,FOXP2,-1.57803407112433,0.010855178612275
1555365_x_at,10944,C11orf58,-1.54305582908967,0.0132848574661548
1555401_at,54937,SOHLH2,-1.32356680527703,0.0243938445356636
1555403_a_at,28513,CDH19,-2.01539369629645,0.00400961272661643
1555426_a_at,55593,OTUD5,1.04700666525279,0.0302204021564478
1555460_a_at,25800,SLC39A6,1.75738185846784,0.000177515088787358
1555462_at,151242,PPP1R1C,-1.38054835775393,0.0499934328588876
1555465_at,255231,MCOLN2,-1.43522287507924,0.00397480556044504
1555502_at,266811,NPSA,-1.20207049063509,0.0488589550096615
1555504_at,7299,TYR,-1.64963243610082,0.0219025351266528
1555510_at,7762,ZNF215,-1.59380673854848,0.0184472521258805
1555526_a_at,23157,SEPT6,1.47614691067473,0.013221075380526
1555538_s_at,171483,FAM9B,-3.38810748381337,5.81025265391642e-05
1555567_s_at,56203,LMOD3,-1.48434833927467,0.00995165734467744
1555573_at,54777,TTC40,-1.55310109859716,0.0284462825890381
1555585_a_at,153745,FAM71B,-1.12319493020123,0.000845361408646061
1555609_a_at,64393,ZMAT3,1.3670761116243,3.65562024356508e-05
1555618_s_at,10055,SAE1,1.26695682499313,1.22516247767293e-06
1555697_at,9622,KLK4,-1.11878377783687,0.0284814774116998
